2025-12-19 00:57:10,101 [INFO] ArvynConfig: Configuration loaded. Logging initialized.
2025-12-19 00:57:10,101 [INFO] ArvynConfig: Gemini API Key loaded successfully.
2025-12-19 01:35:32,495 | ArvynCore | INFO | ArvynBrain initialized with model: gemini-3-pro-preview
2025-12-19 01:35:32,663 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329618 at 1dd02b11c40>
2025-12-19 01:35:32,664 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329098 at 1dd02b12240>
2025-12-19 01:35:32,664 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328fe8 at 1dd02b12340>
2025-12-19 01:35:32,664 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013291a0 at 1dd02b12340>
2025-12-19 01:35:32,666 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329148 at 1dd02b122c0>
2025-12-19 01:35:32,666 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013293b0 at 1dd02b129c0>
2025-12-19 01:35:32,666 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329720 at 1dd02b11d40>
2025-12-19 01:35:32,667 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b11b40>
2025-12-19 01:35:32,667 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013296c8 at 1dd02b11cc0>
2025-12-19 01:35:32,668 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329720 at 1dd02b126c0>
2025-12-19 01:35:32,669 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013297d0 at 1dd02b11d40>
2025-12-19 01:35:32,669 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b11c40>
2025-12-19 01:35:32,669 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329778 at 1dd02b11740>
2025-12-19 01:35:32,669 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b12cc0>
2025-12-19 01:35:32,670 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013298d8 at 1dd02b13040>
2025-12-19 01:35:32,670 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd0131b868 at 1dd02b133c0>
2025-12-19 01:35:32,670 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329880 at 1dd02b12640>
2025-12-19 01:35:32,670 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b128c0>
2025-12-19 01:35:32,670 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329828 at 1dd02b120c0>
2025-12-19 01:35:32,671 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328cd0 at 1dd02b12340>
2025-12-19 01:35:32,671 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328cd0 at 1dd02b12ac0>
2025-12-19 01:35:32,671 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328cd0 at 1dd02b12340>
2025-12-19 01:35:32,671 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328cd0 at 1dd02b12640>
2025-12-19 01:35:32,672 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329358 at 1dd02b12340>
2025-12-19 01:35:32,672 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329358 at 1dd02b128c0>
2025-12-19 01:35:32,674 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b12340>
2025-12-19 01:35:32,674 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329930 at 1dd02b12640>
2025-12-19 01:35:32,674 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329930 at 1dd02b13240>
2025-12-19 01:35:32,675 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b123c0>
2025-12-19 01:35:32,675 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329988 at 1dd02b129c0>
2025-12-19 01:35:32,675 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329988 at 1dd02b123c0>
2025-12-19 01:35:32,676 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329930 at 1dd02b12bc0>
2025-12-19 01:35:32,676 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329930 at 1dd02b12940>
2025-12-19 01:35:32,676 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b12a40>
2025-12-19 01:35:32,676 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013299e0 at 1dd02b127c0>
2025-12-19 01:35:32,677 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329358 at 1dd02b131c0>
2025-12-19 01:35:32,677 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013299e0 at 1dd02b12840>
2025-12-19 01:35:32,678 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328e88 at 1dd02b128c0>
2025-12-19 01:35:32,679 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328e88 at 1dd02b128c0>
2025-12-19 01:35:32,679 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd0131b868 at 1dd02b12240>
2025-12-19 01:35:32,679 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328bc8 at 1dd02b11d40>
2025-12-19 01:35:32,679 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b11cc0>
2025-12-19 01:35:32,680 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328b70 at 1dd02b11b40>
2025-12-19 01:35:32,680 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329828 at 1dd02b11c40>
2025-12-19 01:35:32,680 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013298d8 at 1dd02b11740>
2025-12-19 01:35:32,680 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329930 at 1dd02b11b40>
2025-12-19 01:35:32,680 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329988 at 1dd02b11c40>
2025-12-19 01:35:32,681 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd013299e0 at 1dd02b11740>
2025-12-19 01:35:32,682 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328cd0 at 1dd02b12840>
2025-12-19 01:35:32,682 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b13240>
2025-12-19 01:35:32,684 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329a90 at 1dd02b12240>
2025-12-19 01:35:32,684 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b127c0>
2025-12-19 01:35:32,685 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329ae8 at 1dd02b11dc0>
2025-12-19 01:35:32,685 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329a90 at 1dd02b124c0>
2025-12-19 01:35:32,686 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329ae8 at 1dd02b12740>
2025-12-19 01:35:32,686 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd0131b868 at 1dd02b11d40>
2025-12-19 01:35:32,686 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b11c40>
2025-12-19 01:35:32,687 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329a38 at 1dd02b11b40>
2025-12-19 01:35:32,687 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329a90 at 1dd02b11cc0>
2025-12-19 01:35:32,687 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329ae8 at 1dd02b11740>
2025-12-19 01:35:32,687 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328cd0 at 1dd02b120c0>
2025-12-19 01:35:32,688 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328cd0 at 1dd02b132c0>
2025-12-19 01:35:32,688 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328cd0 at 1dd02b12fc0>
2025-12-19 01:35:32,688 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328cd0 at 1dd02b132c0>
2025-12-19 01:35:32,688 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329358 at 1dd02b122c0>
2025-12-19 01:35:32,689 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329358 at 1dd02b132c0>
2025-12-19 01:35:32,689 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b12c40>
2025-12-19 01:35:32,689 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329bf0 at 1dd02b12340>
2025-12-19 01:35:32,689 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329bf0 at 1dd02b12c40>
2025-12-19 01:35:32,690 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329098 at 1dd02b136c0>
2025-12-19 01:35:32,690 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd0131b868 at 1dd02b13140>
2025-12-19 01:35:32,690 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329ca0 at 1dd02b12f40>
2025-12-19 01:35:32,690 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b12ec0>
